Date,SPY,EFA,AGG
2013-05-01,3610.9333367372165,1176.6403286519126,2229.814199053013
2013-05-02,3669.9553471153195,1188.525114999211,2245.609144613234
2013-05-03,3736.0052095937135,1213.0903634606511,2254.7457684103574
2013-05-06,3806.924674987793,1231.408260345459,2288.0075492858887
2013-05-07,3740.746212810336,1205.8272703430703,2235.6844399496913
2013-05-08,3844.9378827574255,1246.8121439934912,2289.6092140779656
2013-05-09,3705.741308702389,1193.4428212524217,2209.958809596719
2013-05-10,3832.2452688795165,1231.556208843358,2273.4620981870103
2013-05-13,3774.243662421941,1211.3716288266005,2235.245043312898
2013-05-14,3835.3876876069116,1220.7392658042154,2242.929507856985
2013-05-15,3866.251239082805,1229.2334985754496,2252.1315232401394
2013-05-16,3849.1494425036944,1221.1846603851154,2258.877587715906
2013-05-17,3887.330582533614,1229.865426196011,2253.901777515348
2013-05-20,3885.901590710215,1236.3112613902485,2250.9608992219
2013-05-21,3880.420844020002,1235.3230123332833,2246.3922817976418
2013-05-22,3841.9752604987007,1219.810462744179,2233.238713275525
2013-05-23,3942.117243632034,1237.2729222977578,2297.2615373989247
2013-05-24,3831.44163577538,1193.0710900729755,2234.657810325036
2013-05-28,3867.786152715271,1200.3356713594621,2228.5480123492016
2013-05-29,3878.912587811239,1200.0534357263823,2252.656534424459
2013-05-30,3866.6437572090654,1196.545972825843,2236.659748351827
2013-05-31,3807.236798588943,1172.0980546485225,2230.0713322933298
2013-06-03,3826.6289773664903,1176.1021898261533,2230.280091529159
2013-06-04,3804.320090838184,1179.1800362843496,2223.0812380941643
2013-06-05,3750.9274909022497,1152.8371986363345,2221.777739811223
2013-06-06,3755.8094479035353,1150.3610463143632,2210.39075914603
2013-06-07,3782.157258228399,1159.25989074698,2191.078510964435
2013-06-10,3782.157258228399,1160.4137204056315,2186.6407721251016
2013-06-11,3743.1423845427344,1146.1872520480392,2186.8418389884755
2013-06-12,3712.1587711159373,1144.8413552436978,2183.211660182278
2013-06-13,3796.909033224918,1171.06232934515,2210.3743759212084
2013-06-14,3777.6487945719855,1159.6769979666278,2213.654152503179
2013-06-17,3823.345869277866,1181.4617225656184,2221.629294438011
2013-06-18,3839.9545623174345,1185.6328491455497,2212.9649966194847
2013-06-19,3797.197554957471,1166.6720613421057,2204.075929053419
2013-06-20,3725.363843939238,1130.6115231782169,2202.5278096551774
2013-06-21,3744.082285107026,1136.3832590082093,2194.163390298272
2013-06-24,3719.568268931005,1125.4328352153534,2198.7901879046985
2013-06-25,3737.016548635438,1134.28082063474,2190.5403846947593
2013-06-26,3774.146172384033,1138.836353798455,2199.889618468238
2013-06-27,3800.0464212640654,1151.4320592834702,2211.3422791725607
2013-06-28,3757.2037089499645,1140.944369446952,2195.6118577020243
2013-07-01,3813.8975614144583,1162.264488194356,2218.8237975227967
2013-07-02,3773.766150159645,1145.3340844775812,2197.52000699933
2013-07-03,3794.936565352109,1151.6583659240714,2205.7938801981218
2013-07-05,3851.6951591395773,1161.8307464886748,2190.672010439099
